time,Ar,Ar+,e,rate_constant0,rate_constant1,reduced_field
0,2.5e+19,1,1,0,1e-25,30
1e-10,2.5e+19,1.0053752675395,1.0053752675395,2.1386114073406e-12,1e-25,30
2e-10,2.5e+19,1.0107794285802,1.0107794285802,2.1386114073406e-12,1e-25,30
3e-10,2.5e+19,1.0162126384323,1.0162126384323,2.1386114073406e-12,1e-25,30
4e-10,2.5e+19,1.0216750532409,1.0216750532409,2.1386114073406e-12,1e-25,30
5e-10,2.5e+19,1.0271668299906,1.0271668299906,2.1386114073406e-12,1e-25,30
6e-10,2.5e+19,1.0326881265095,1.0326881265095,2.1386114073406e-12,1e-25,30
7e-10,2.5e+19,1.0382391014744,1.0382391014744,2.1386114073406e-12,1e-25,30
8e-10,2.5e+19,1.0438199144149,1.0438199144149,2.1386114073406e-12,1e-25,30
9e-10,2.5e+19,1.049430725718,1.049430725718,2.1386114073406e-12,1e-25,30
1e-09,2.5e+19,1.0550716966329,1.0550716966329,2.1386114073406e-12,1e-25,30
1.1e-09,2.5e+19,1.0607429892757,1.0607429892757,2.1386114073406e-12,1e-25,30
1.2e-09,2.5e+19,1.0664447666338,1.0664447666338,2.1386114073406e-12,1e-25,30
1.3e-09,2.5e+19,1.0721771925706,1.0721771925706,2.1386114073406e-12,1e-25,30
1.4e-09,2.5e+19,1.0779404318304,1.0779404318304,2.1386114073406e-12,1e-25,30
1.5e-09,2.5e+19,1.0837346500432,1.0837346500432,2.1386114073406e-12,1e-25,30
1.6e-09,2.5e+19,1.0895600137291,1.0895600137291,2.1386114073406e-12,1e-25,30
1.7e-09,2.5e+19,1.0954166903033,1.0954166903033,2.1386114073406e-12,1e-25,30
1.8e-09,2.5e+19,1.1013048480809,1.1013048480809,2.1386114073406e-12,1e-25,30
1.9e-09,2.5e+19,1.107224656282,1.107224656282,2.1386114073406e-12,1e-25,30
2e-09,2.5e+19,1.1131762850359,1.1131762850359,2.1386114073406e-12,1e-25,30
2.1e-09,2.5e+19,1.1191599053866,1.1191599053866,2.1386114073406e-12,1e-25,30
2.2e-09,2.5e+19,1.1251756892976,1.1251756892976,2.1386114073406e-12,1e-25,30
2.3e-09,2.5e+19,1.1312238096566,1.1312238096566,2.1386114073406e-12,1e-25,30
2.4e-09,2.5e+19,1.1373044402806,1.1373044402806,2.1386114073406e-12,1e-25,30
2.5e-09,2.5e+19,1.143417755921,1.143417755921,2.1386114073406e-12,1e-25,30
2.6e-09,2.5e+19,1.1495639322685,1.1495639322685,2.1386114073406e-12,1e-25,30
2.7e-09,2.5e+19,1.1557431459583,1.1557431459583,2.1386114073406e-12,1e-25,30
2.8e-09,2.5e+19,1.1619555745748,1.1619555745748,2.1386114073406e-12,1e-25,30
2.9e-09,2.5e+19,1.1682013966572,1.1682013966572,2.1386114073406e-12,1e-25,30
3e-09,2.5e+19,1.1744807917043,1.1744807917043,2.1386114073406e-12,1e-25,30
3.1e-09,2.5e+19,1.1807939401798,1.1807939401798,2.1386114073406e-12,1e-25,30
3.2e-09,2.5e+19,1.1871410235173,1.1871410235173,2.1386114073406e-12,1e-25,30
3.3e-09,2.5e+19,1.1935222241259,1.1935222241259,2.1386114073406e-12,1e-25,30
3.4e-09,2.5e+19,1.199937725395,1.199937725395,2.1386114073406e-12,1e-25,30
3.5e-09,2.5e+19,1.2063877116997,1.2063877116997,2.1386114073406e-12,1e-25,30
3.6e-09,2.5e+19,1.2128723684066,1.2128723684066,2.1386114073406e-12,1e-25,30
